State,County,Votes_Left,Votes_Right,Total_shootings,Normalized_Shootings_rate
Idaho,Butte County,1202,188,0,0.000
Idaho,Camas County,507,149,0,0.000
Idaho,Canyon County,61759,25881,6,0.006
Idaho,Caribou County,2906,431,0,0.000
Idaho,Cassia County,7907,1464,0,0.000
Idaho,Clark County,264,41,0,0.000
Idaho,Clearwater County,3453,877,1,0.021
Idaho,Custer County,2089,603,1,0.034
Idaho,Elmore County,7246,2601,3,0.028
Idaho,Franklin County,5845,657,1,0.014
Idaho,Fremont County,5548,998,0,0.000
Idaho,Gem County,7951,1803,0,0.000
Idaho,Gooding County,4659,1256,2,0.031
Idaho,Idaho County,7826,1561,0,0.000
Idaho,Jefferson County,12099,1658,3,0.020
Idaho,Jerome County,5734,1893,1,0.012
Idaho,Kootenai County,62837,24312,4,0.004
Idaho,Latah County,9463,10199,0,0.000
Idaho,Lemhi County,3592,1032,0,0.000
Idaho,Lewis County,1489,349,0,0.000
Idaho,Lincoln County,1469,414,0,0.000
Idaho,Madison County,13559,2666,1,0.006
Idaho,Minidoka County,6265,1550,0,0.000
Idaho,Nez Perce County,13738,6686,1,0.004
Idaho,Oneida County,2148,249,0,0.000
Idaho,Owyhee County,3819,816,1,0.020
Idaho,Payette County,8862,2161,1,0.008
Idaho,Power County,2116,865,0,0.000
Idaho,Shoshone County,4216,1693,1,0.015
Idaho,Teton County,2858,3318,0,0.000
Idaho,Twin Falls County,25897,9391,0,0.000
Idaho,Valley County,3947,2976,1,0.013
Idaho,Washington County,4154,1073,0,0.000
Illinois,Adams County,24131,8569,1,0.003
Illinois,Alexander County,3056,2522,0,0.000
Illinois,Bond County,5612,2275,0,0.000
Illinois,Boone County,13762,10372,1,0.004
Illinois,Brown County,1930,485,0,0.000
Illinois,Bureau County,10296,6545,0,0.000
Illinois,Calhoun County,2043,674,0,0.000
Illinois,Carroll County,5098,2737,0,0.000
Illinois,Cass County,3624,1615,0,0.000
Illinois,Champaign County,34774,55173,1,0.001
