,state,county,candidate,party,voteStates,lead
19310,Texas,Hudspeth County,Joe Biden,DEM,371,Donald Trump
19311,Texas,Hudspeth County,Jo Jorgensen,LIB,10,Donald Trump
19312,Texas,Hudspeth County,Howie Hawkins,GRN,5,Donald Trump
19313,Texas,Hunt County,Donald Trump,REP,29135,Donald Trump
19314,Texas,Hunt County,Joe Biden,DEM,8879,Donald Trump
19315,Texas,Hunt County,Jo Jorgensen,LIB,432,Donald Trump
19316,Texas,Hunt County,Howie Hawkins,GRN,71,Donald Trump
19317,Texas,Hutchinson County,Donald Trump,REP,7659,Donald Trump
19318,Texas,Hutchinson County,Joe Biden,DEM,957,Donald Trump
19319,Texas,Hutchinson County,Jo Jorgensen,LIB,113,Donald Trump
19320,Texas,Hutchinson County,Howie Hawkins,GRN,10,Donald Trump
19321,Texas,Hutchinson County, Write-ins,WRI,2,Donald Trump
19322,Texas,Irion County,Donald Trump,REP,759,Donald Trump
19323,Texas,Irion County,Joe Biden,DEM,120,Donald Trump
19324,Texas,Irion County,Jo Jorgensen,LIB,8,Donald Trump
19325,Texas,Irion County,Howie Hawkins,GRN,2,Donald Trump
19326,Texas,Jack County,Donald Trump,REP,3415,Donald Trump
19327,Texas,Jack County,Joe Biden,DEM,331,Donald Trump
19328,Texas,Jack County,Jo Jorgensen,LIB,24,Donald Trump
19329,Texas,Jack County,Howie Hawkins,GRN,9,Donald Trump
19330,Texas,Jackson County,Donald Trump,REP,5116,Donald Trump
19331,Texas,Jackson County,Joe Biden,DEM,1018,Donald Trump
19332,Texas,Jackson County,Jo Jorgensen,LIB,51,Donald Trump
19333,Texas,Jackson County,Howie Hawkins,GRN,23,Donald Trump
19334,Texas,Jackson County, Write-ins,WRI,2,Donald Trump
19335,Texas,Jasper County,Donald Trump,REP,12453,Donald Trump
19336,Texas,Jasper County,Joe Biden,DEM,2906,Donald Trump
19337,Texas,Jasper County,Jo Jorgensen,LIB,101,Donald Trump
19338,Texas,Jasper County,Howie Hawkins,GRN,6,Donald Trump
19339,Texas,Jasper County, Write-ins,WRI,3,Donald Trump
19340,Texas,Jeff Davis County,Donald Trump,REP,783,Donald Trump
19341,Texas,Jeff Davis County,Joe Biden,DEM,501,Donald Trump
19342,Texas,Jeff Davis County,Jo Jorgensen,LIB,17,Donald Trump
19343,Texas,Jeff Davis County,Howie Hawkins,GRN,3,Donald Trump
19344,Texas,Jefferson County,Donald Trump,REP,47535,Donald Trump
19345,Texas,Jefferson County,Joe Biden,DEM,46022,Donald Trump
19346,Texas,Jefferson County,Jo Jorgensen,LIB,891,Donald Trump
19347,Texas,Jefferson County,Howie Hawkins,GRN,197,Donald Trump
19348,Texas,Jefferson County, Write-ins,WRI,20,Donald Trump
19349,Texas,Jim Hogg County,Joe Biden,DEM,1197,Donald Trump
19350,Texas,Jim Hogg County,Donald Trump,REP,831,Donald Trump
19351,Texas,Jim Hogg County,Jo Jorgensen,LIB,4,Donald Trump
19352,Texas,Jim Hogg County,Howie Hawkins,GRN,2,Donald Trump
19353,Texas,Jim Wells County,Donald Trump,REP,7389,Donald Trump
19354,Texas,Jim Wells County,Joe Biden,DEM,6025,Donald Trump
19355,Texas,Jim Wells County,Jo Jorgensen,LIB,65,Donald Trump
19356,Texas,Jim Wells County,Howie Hawkins,GRN,28,Donald Trump
19357,Texas,Johnson County,Donald Trump,REP,54523,Donald Trump
19358,Texas,Johnson County,Joe Biden,DEM,16418,Donald Trump
19359,Texas,Johnson County,Jo Jorgensen,LIB,767,Donald Trump
19360,Texas,Johnson County,Howie Hawkins,GRN,141,Donald Trump
19361,Texas,Johnson County, Write-ins,WRI,79,Donald Trump
19362,Texas,Jones County,Donald Trump,REP,5621,Donald Trump
19363,Texas,Jones County,Joe Biden,DEM,989,Donald Trump
19364,Texas,Jones County,Jo Jorgensen,LIB,62,Donald Trump
19365,Texas,Jones County,Howie Hawkins,GRN,19,Donald Trump
19366,Texas,Karnes County,Donald Trump,REP,3959,Donald Trump
19367,Texas,Karnes County,Joe Biden,DEM,1220,Donald Trump
19368,Texas,Karnes County,Jo Jorgensen,LIB,30,Donald Trump
19369,Texas,Karnes County,Howie Hawkins,GRN,17,Donald Trump
19370,Texas,Karnes County, Write-ins,WRI,3,Donald Trump
19371,Texas,Kaufman County,Donald Trump,REP,37474,Donald Trump
19372,Texas,Kaufman County,Joe Biden,DEM,18290,Donald Trump
19373,Texas,Kaufman County,Jo Jorgensen,LIB,526,Donald Trump
19374,Texas,Kaufman County,Howie Hawkins,GRN,145,Donald Trump
19375,Texas,Kaufman County, Write-ins,WRI,0,Donald Trump
19376,Texas,Kendall County,Donald Trump,REP,20064,Donald Trump
19377,Texas,Kendall County,Joe Biden,DEM,6008,Donald Trump
19378,Texas,Kendall County,Jo Jorgensen,LIB,288,Donald Trump
19379,Texas,Kendall County,Howie Hawkins,GRN,46,Donald Trump
19380,Texas,Kendall County, Write-ins,WRI,13,Donald Trump
19381,Texas,Kenedy County,Donald Trump,REP,127,Donald Trump
19382,Texas,Kenedy County,Joe Biden,DEM,65,Donald Trump
19383,Texas,Kenedy County,Howie Hawkins,GRN,1,Donald Trump
19384,Texas,Kenedy County,Jo Jorgensen,LIB,1,Donald Trump
19385,Texas,Kent County,Donald Trump,REP,411,Donald Trump
19386,Texas,Kent County,Joe Biden,DEM,47,Donald Trump
19387,Texas,Kent County,Howie Hawkins,GRN,3,Donald Trump
19388,Texas,Kent County,Jo Jorgensen,LIB,1,Donald Trump
19389,Texas,Kerr County,Donald Trump,REP,20858,Donald Trump
19390,Texas,Kerr County,Joe Biden,DEM,6510,Donald Trump
19391,Texas,Kerr County,Jo Jorgensen,LIB,283,Donald Trump
19392,Texas,Kerr County,Howie Hawkins,GRN,51,Donald Trump
19393,Texas,Kerr County, Write-ins,WRI,36,Donald Trump
19394,Texas,Kimble County,Donald Trump,REP,1987,Donald Trump
19395,Texas,Kimble County,Joe Biden,DEM,284,Donald Trump
19396,Texas,Kimble County,Jo Jorgensen,LIB,17,Donald Trump
19397,Texas,Kimble County,Howie Hawkins,GRN,4,Donald Trump
19398,Texas,King County,Donald Trump,REP,151,Donald Trump
19399,Texas,King County,Joe Biden,DEM,8,Donald Trump
19400,Texas,King County,Howie Hawkins,GRN,0,Donald Trump
19401,Texas,King County,Jo Jorgensen,LIB,0,Donald Trump
19402,Texas,King County, Write-ins,WRI,0,Donald Trump
19403,Texas,Kinney County,Donald Trump,REP,1144,Donald Trump
19404,Texas,Kinney County,Joe Biden,DEM,446,Donald Trump
19405,Texas,Kinney County,Jo Jorgensen,LIB,11,Donald Trump
19406,Texas,Kinney County,Howie Hawkins,GRN,2,Donald Trump
19407,Texas,Kleberg County,Donald Trump,REP,5557,Donald Trump
19408,Texas,Kleberg County,Joe Biden,DEM,5359,Donald Trump
19409,Texas,Kleberg County,Jo Jorgensen,LIB,97,Donald Trump
19410,Texas,Kleberg County,Howie Hawkins,GRN,28,Donald Trump
19411,Texas,Knox County,Donald Trump,REP,1180,Donald Trump
19412,Texas,Knox County,Joe Biden,DEM,265,Donald Trump
19413,Texas,Knox County,Jo Jorgensen,LIB,7,Donald Trump
19414,Texas,Knox County,Howie Hawkins,GRN,4,Donald Trump
19415,Texas,Lamar County,Donald Trump,REP,16698,Donald Trump
19416,Texas,Lamar County,Joe Biden,DEM,4420,Donald Trump
19417,Texas,Lamar County,Jo Jorgensen,LIB,169,Donald Trump
19418,Texas,Lamar County,Howie Hawkins,GRN,27,Donald Trump
19419,Texas,Lamar County, Write-ins,WRI,24,Donald Trump
19420,Texas,Lamb County,Donald Trump,REP,3513,Donald Trump
19421,Texas,Lamb County,Joe Biden,DEM,835,Donald Trump
19422,Texas,Lamb County,Jo Jorgensen,LIB,38,Donald Trump
19423,Texas,Lamb County,Howie Hawkins,GRN,7,Donald Trump
19424,Texas,Lamb County, Write-ins,WRI,1,Donald Trump
19425,Texas,Lampasas County,Donald Trump,REP,8070,Donald Trump
19426,Texas,Lampasas County,Joe Biden,DEM,2134,Donald Trump
19427,Texas,Lampasas County,Jo Jorgensen,LIB,145,Donald Trump
19428,Texas,Lampasas County,Howie Hawkins,GRN,24,Donald Trump
19429,Texas,Lampasas County, Write-ins,WRI,0,Donald Trump
19430,Texas,La Salle County,Donald Trump,REP,1335,Donald Trump
19431,Texas,La Salle County,Joe Biden,DEM,1052,Donald Trump
19432,Texas,La Salle County,Jo Jorgensen,LIB,12,Donald Trump
19433,Texas,La Salle County,Howie Hawkins,GRN,7,Donald Trump
19434,Texas,Lavaca County,Donald Trump,REP,8802,Donald Trump
19435,Texas,Lavaca County,Joe Biden,DEM,1333,Donald Trump
19436,Texas,Lavaca County,Jo Jorgensen,LIB,46,Donald Trump
19437,Texas,Lavaca County,Howie Hawkins,GRN,8,Donald Trump
19438,Texas,Lavaca County, Write-ins,WRI,6,Donald Trump
19439,Texas,Lee County,Donald Trump,REP,6248,Donald Trump
19440,Texas,Lee County,Joe Biden,DEM,1745,Donald Trump
19441,Texas,Lee County,Jo Jorgensen,LIB,65,Donald Trump
19442,Texas,Lee County,Howie Hawkins,GRN,16,Donald Trump
19443,Texas,Lee County, Write-ins,WRI,1,Donald Trump
19444,Texas,Leon County,Donald Trump,REP,7522,Donald Trump
19445,Texas,Leon County,Joe Biden,DEM,1072,Donald Trump
19446,Texas,Leon County,Jo Jorgensen,LIB,56,Donald Trump
19447,Texas,Leon County,Howie Hawkins,GRN,14,Donald Trump
19448,Texas,Leon County, Write-ins,WRI,8,Donald Trump
19449,Texas,Liberty County,Donald Trump,REP,23288,Donald Trump
19450,Texas,Liberty County,Joe Biden,DEM,5779,Donald Trump
19451,Texas,Liberty County,Jo Jorgensen,LIB,218,Donald Trump
19452,Texas,Liberty County,Howie Hawkins,GRN,29,Donald Trump
19453,Texas,Limestone County,Donald Trump,REP,6786,Donald Trump
19454,Texas,Limestone County,Joe Biden,DEM,2213,Donald Trump
19455,Texas,Limestone County,Jo Jorgensen,LIB,66,Donald Trump
19456,Texas,Limestone County,Howie Hawkins,GRN,27,Donald Trump
19457,Texas,Lipscomb County,Donald Trump,REP,1203,Donald Trump
19458,Texas,Lipscomb County,Joe Biden,DEM,131,Donald Trump
19459,Texas,Lipscomb County,Jo Jorgensen,LIB,17,Donald Trump
19460,Texas,Lipscomb County,Howie Hawkins,GRN,0,Donald Trump
19461,Texas,Live Oak County,Donald Trump,REP,4198,Donald Trump
19462,Texas,Live Oak County,Joe Biden,DEM,819,Donald Trump
19463,Texas,Live Oak County,Jo Jorgensen,LIB,30,Donald Trump
19464,Texas,Live Oak County,Howie Hawkins,GRN,6,Donald Trump
19465,Texas,Llano County,Donald Trump,REP,9996,Donald Trump
19466,Texas,Llano County,Joe Biden,DEM,3167,Donald Trump
19467,Texas,Llano County,Jo Jorgensen,LIB,99,Donald Trump
19468,Texas,Llano County,Howie Hawkins,GRN,16,Donald Trump
19469,Texas,Loving County,Donald Trump,REP,60,Donald Trump
19470,Texas,Loving County,Joe Biden,DEM,4,Donald Trump
19471,Texas,Loving County,Jo Jorgensen,LIB,2,Donald Trump
19472,Texas,Loving County,Howie Hawkins,GRN,0,Donald Trump
19473,Texas,Lubbock County,Donald Trump,REP,78560,Donald Trump
19474,Texas,Lubbock County,Joe Biden,DEM,39757,Donald Trump
19475,Texas,Lubbock County,Jo Jorgensen,LIB,1604,Donald Trump
19476,Texas,Lubbock County,Howie Hawkins,GRN,273,Donald Trump
19477,Texas,Lubbock County, Write-ins,WRI,10,Donald Trump
19478,Texas,Lynn County,Donald Trump,REP,1853,Donald Trump
19479,Texas,Lynn County,Joe Biden,DEM,428,Donald Trump
19480,Texas,Lynn County,Jo Jorgensen,LIB,10,Donald Trump
19481,Texas,Lynn County,Howie Hawkins,GRN,2,Donald Trump
19482,Texas,Lynn County, Write-ins,WRI,0,Donald Trump
19483,Texas,McCulloch County,Donald Trump,REP,2898,Donald Trump
19484,Texas,McCulloch County,Joe Biden,DEM,490,Donald Trump
19485,Texas,McCulloch County,Jo Jorgensen,LIB,36,Donald Trump
19486,Texas,McCulloch County,Howie Hawkins,GRN,6,Donald Trump
19487,Texas,McLennan County,Donald Trump,REP,59432,Donald Trump
19488,Texas,McLennan County,Joe Biden,DEM,36550,Donald Trump
19489,Texas,McLennan County,Jo Jorgensen,LIB,1291,Donald Trump
19490,Texas,McLennan County,Howie Hawkins,GRN,243,Donald Trump
19491,Texas,McLennan County, Write-ins,WRI,101,Donald Trump
19492,Texas,McMullen County,Donald Trump,REP,460,Donald Trump
19493,Texas,McMullen County,Joe Biden,DEM,53,Donald Trump
19494,Texas,McMullen County,Jo Jorgensen,LIB,2,Donald Trump
19495,Texas,McMullen County,Howie Hawkins,GRN,1,Donald Trump
19496,Texas,Madison County,Donald Trump,REP,4165,Donald Trump
19497,Texas,Madison County,Joe Biden,DEM,1084,Donald Trump
19498,Texas,Madison County,Jo Jorgensen,LIB,30,Donald Trump
19499,Texas,Madison County,Howie Hawkins,GRN,10,Donald Trump
19500,Texas,Marion County,Donald Trump,REP,3459,Donald Trump
19501,Texas,Marion County,Joe Biden,DEM,1331,Donald Trump
19502,Texas,Marion County,Jo Jorgensen,LIB,46,Donald Trump
19503,Texas,Marion County,Howie Hawkins,GRN,8,Donald Trump
19504,Texas,Martin County,Donald Trump,REP,1857,Donald Trump
19505,Texas,Martin County,Joe Biden,DEM,288,Donald Trump
19506,Texas,Martin County,Jo Jorgensen,LIB,13,Donald Trump
19507,Texas,Martin County,Howie Hawkins,GRN,2,Donald Trump
19508,Texas,Mason County,Donald Trump,REP,2108,Donald Trump
19509,Texas,Mason County,Joe Biden,DEM,566,Donald Trump
19510,Texas,Mason County,Jo Jorgensen,LIB,19,Donald Trump
19511,Texas,Mason County, Write-ins,WRI,5,Donald Trump
19512,Texas,Mason County,Howie Hawkins,GRN,2,Donald Trump
19513,Texas,Matagorda County,Donald Trump,REP,9836,Donald Trump
19514,Texas,Matagorda County,Joe Biden,DEM,3726,Donald Trump
19515,Texas,Matagorda County,Jo Jorgensen,LIB,115,Donald Trump
19516,Texas,Matagorda County,Howie Hawkins,GRN,33,Donald Trump
19517,Texas,Maverick County,Joe Biden,DEM,8324,Donald Trump
19518,Texas,Maverick County,Donald Trump,REP,6881,Donald Trump
19519,Texas,Maverick County,Jo Jorgensen,LIB,73,Donald Trump
19520,Texas,Maverick County,Howie Hawkins,GRN,60,Donald Trump
19521,Texas,Maverick County, Write-ins,WRI,0,Donald Trump
19522,Texas,Medina County,Donald Trump,REP,15599,Donald Trump
19523,Texas,Medina County,Joe Biden,DEM,6731,Donald Trump
19524,Texas,Medina County,Jo Jorgensen,LIB,183,Donald Trump
19525,Texas,Medina County,Howie Hawkins,GRN,44,Donald Trump
19526,Texas,Medina County, Write-ins,WRI,11,Donald Trump
19527,Texas,Menard County,Donald Trump,REP,819,Donald Trump
19528,Texas,Menard County,Joe Biden,DEM,196,Donald Trump
19529,Texas,Menard County,Jo Jorgensen,LIB,6,Donald Trump
19530,Texas,Menard County,Howie Hawkins,GRN,2,Donald Trump
19531,Texas,Midland County,Donald Trump,REP,45463,Donald Trump
19532,Texas,Midland County,Joe Biden,DEM,12258,Donald Trump
19533,Texas,Midland County,Jo Jorgensen,LIB,774,Donald Trump
19534,Texas,Midland County, Write-ins,WRI,132,Donald Trump
19535,Texas,Midland County,Howie Hawkins,GRN,125,Donald Trump
19536,Texas,Milam County,Donald Trump,REP,7950,Donald Trump
19537,Texas,Milam County,Joe Biden,DEM,2475,Donald Trump
19538,Texas,Milam County,Jo Jorgensen,LIB,72,Donald Trump
19539,Texas,Milam County,Howie Hawkins,GRN,24,Donald Trump
19540,Texas,Milam County, Write-ins,WRI,2,Donald Trump
19541,Texas,Mills County,Donald Trump,REP,2214,Donald Trump
19542,Texas,Mills County,Joe Biden,DEM,271,Donald Trump
19543,Texas,Mills County,Jo Jorgensen,LIB,15,Donald Trump
19544,Texas,Mills County,Howie Hawkins,GRN,2,Donald Trump
19545,Texas,Mitchell County,Donald Trump,REP,2169,Donald Trump
19546,Texas,Mitchell County,Joe Biden,DEM,397,Donald Trump
19547,Texas,Mitchell County,Jo Jorgensen,LIB,11,Donald Trump
19548,Texas,Mitchell County,Howie Hawkins,GRN,1,Donald Trump
19549,Texas,Montague County,Donald Trump,REP,8613,Donald Trump
19550,Texas,Montague County,Joe Biden,DEM,1097,Donald Trump
19551,Texas,Montague County,Jo Jorgensen,LIB,78,Donald Trump
19552,Texas,Montague County,Howie Hawkins,GRN,24,Donald Trump
19553,Texas,Montgomery County,Donald Trump,REP,193224,Donald Trump
19554,Texas,Montgomery County,Joe Biden,DEM,74255,Donald Trump
19555,Texas,Montgomery County,Jo Jorgensen,LIB,3161,Donald Trump
19556,Texas,Montgomery County,Howie Hawkins,GRN,522,Donald Trump
19557,Texas,Montgomery County, Write-ins,WRI,13,Donald Trump
19558,Texas,Moore County,Donald Trump,REP,4356,Donald Trump
19559,Texas,Moore County,Joe Biden,DEM,1059,Donald Trump
19560,Texas,Moore County,Jo Jorgensen,LIB,66,Donald Trump
19561,Texas,Moore County,Howie Hawkins,GRN,21,Donald Trump
19562,Texas,Morris County,Donald Trump,REP,3841,Donald Trump
19563,Texas,Morris County,Joe Biden,DEM,1664,Donald Trump
19564,Texas,Morris County,Jo Jorgensen,LIB,36,Donald Trump
19565,Texas,Morris County,Howie Hawkins,GRN,7,Donald Trump
19566,Texas,Motley County,Donald Trump,REP,604,Donald Trump
19567,Texas,Motley County,Joe Biden,DEM,46,Donald Trump
19568,Texas,Motley County,Jo Jorgensen,LIB,2,Donald Trump
19569,Texas,Motley County,Howie Hawkins,GRN,0,Donald Trump
19570,Texas,Nacogdoches County,Donald Trump,REP,17359,Donald Trump
19571,Texas,Nacogdoches County,Joe Biden,DEM,8989,Donald Trump
19572,Texas,Nacogdoches County,Jo Jorgensen,LIB,302,Donald Trump
19573,Texas,Nacogdoches County,Howie Hawkins,GRN,83,Donald Trump
19574,Texas,Nacogdoches County, Write-ins,WRI,22,Donald Trump
19575,Texas,Navarro County,Donald Trump,REP,13787,Donald Trump
19576,Texas,Navarro County,Joe Biden,DEM,5097,Donald Trump
19577,Texas,Navarro County,Jo Jorgensen,LIB,167,Donald Trump
19578,Texas,Navarro County,Howie Hawkins,GRN,52,Donald Trump
19579,Texas,Navarro County, Write-ins,WRI,2,Donald Trump
19580,Texas,Newton County,Donald Trump,REP,4882,Donald Trump
19581,Texas,Newton County,Joe Biden,DEM,1175,Donald Trump
19582,Texas,Newton County,Jo Jorgensen,LIB,34,Donald Trump
19583,Texas,Newton County,Howie Hawkins,GRN,5,Donald Trump
19584,Texas,Nolan County,Donald Trump,REP,4127,Donald Trump
19585,Texas,Nolan County,Joe Biden,DEM,1161,Donald Trump
19586,Texas,Nolan County,Jo Jorgensen,LIB,53,Donald Trump
19587,Texas,Nolan County,Howie Hawkins,GRN,10,Donald Trump
19588,Texas,Nolan County, Write-ins,WRI,1,Donald Trump
19589,Texas,Nueces County,Donald Trump,REP,64467,Donald Trump
19590,Texas,Nueces County,Joe Biden,DEM,60749,Donald Trump
19591,Texas,Nueces County,Jo Jorgensen,LIB,1394,Donald Trump
19592,Texas,Nueces County,Howie Hawkins,GRN,368,Donald Trump
19593,Texas,Nueces County, Write-ins,WRI,6,Donald Trump
19594,Texas,Ochiltree County,Donald Trump,REP,2811,Donald Trump
19595,Texas,Ochiltree County,Joe Biden,DEM,302,Donald Trump
19596,Texas,Ochiltree County,Jo Jorgensen,LIB,37,Donald Trump
19597,Texas,Ochiltree County,Howie Hawkins,GRN,3,Donald Trump
19598,Texas,Ochiltree County, Write-ins,WRI,2,Donald Trump
19599,Texas,Oldham County,Donald Trump,REP,917,Donald Trump
19600,Texas,Oldham County,Joe Biden,DEM,81,Donald Trump
19601,Texas,Oldham County,Jo Jorgensen,LIB,10,Donald Trump
19602,Texas,Oldham County,Howie Hawkins,GRN,1,Donald Trump
19603,Texas,Orange County,Donald Trump,REP,29170,Donald Trump
19604,Texas,Orange County,Joe Biden,DEM,6354,Donald Trump
19605,Texas,Orange County,Jo Jorgensen,LIB,375,Donald Trump
19606,Texas,Orange County,Howie Hawkins,GRN,51,Donald Trump
19607,Texas,Orange County, Write-ins,WRI,24,Donald Trump
19608,Texas,Palo Pinto County,Donald Trump,REP,10170,Donald Trump
19609,Texas,Palo Pinto County,Joe Biden,DEM,2177,Donald Trump
19610,Texas,Palo Pinto County,Jo Jorgensen,LIB,100,Donald Trump
19611,Texas,Palo Pinto County,Howie Hawkins,GRN,27,Donald Trump
19612,Texas,Palo Pinto County, Write-ins,WRI,4,Donald Trump
19613,Texas,Panola County,Donald Trump,REP,9322,Donald Trump
19614,Texas,Panola County,Joe Biden,DEM,2057,Donald Trump
19615,Texas,Panola County,Jo Jorgensen,LIB,57,Donald Trump
19616,Texas,Panola County,Howie Hawkins,GRN,11,Donald Trump
19617,Texas,Panola County, Write-ins,WRI,5,Donald Trump
19618,Texas,Parker County,Donald Trump,REP,61584,Donald Trump
19619,Texas,Parker County,Joe Biden,DEM,12789,Donald Trump
19620,Texas,Parker County,Jo Jorgensen,LIB,878,Donald Trump
19621,Texas,Parker County,Howie Hawkins,GRN,155,Donald Trump
19622,Texas,Parker County, Write-ins,WRI,28,Donald Trump
19623,Texas,Parmer County,Donald Trump,REP,2133,Donald Trump
19624,Texas,Parmer County,Joe Biden,DEM,488,Donald Trump
19625,Texas,Parmer County,Jo Jorgensen,LIB,23,Donald Trump
19626,Texas,Parmer County,Howie Hawkins,GRN,4,Donald Trump
19627,Texas,Pecos County,Donald Trump,REP,3213,Donald Trump
19628,Texas,Pecos County,Joe Biden,DEM,1378,Donald Trump
19629,Texas,Pecos County,Jo Jorgensen,LIB,50,Donald Trump
19630,Texas,Pecos County,Howie Hawkins,GRN,21,Donald Trump
19631,Texas,Polk County,Donald Trump,REP,18496,Donald Trump
19632,Texas,Polk County,Joe Biden,DEM,5353,Donald Trump
19633,Texas,Polk County,Jo Jorgensen,LIB,170,Donald Trump
19634,Texas,Polk County,Howie Hawkins,GRN,50,Donald Trump
19635,Texas,Polk County, Write-ins,WRI,3,Donald Trump
19636,Texas,Potter County,Donald Trump,REP,22732,Donald Trump
19637,Texas,Potter County,Joe Biden,DEM,9867,Donald Trump
19638,Texas,Potter County,Jo Jorgensen,LIB,454,Donald Trump
19639,Texas,Potter County,Howie Hawkins,GRN,124,Donald Trump
19640,Texas,Presidio County,Joe Biden,DEM,1463,Donald Trump
19641,Texas,Presidio County,Donald Trump,REP,721,Donald Trump
19642,Texas,Presidio County,Jo Jorgensen,LIB,21,Donald Trump
19643,Texas,Presidio County,Howie Hawkins,GRN,12,Donald Trump
19644,Texas,Presidio County, Write-ins,WRI,0,Donald Trump
19645,Texas,Rains County,Donald Trump,REP,5147,Donald Trump
19646,Texas,Rains County,Joe Biden,DEM,841,Donald Trump
19647,Texas,Rains County,Jo Jorgensen,LIB,43,Donald Trump
19648,Texas,Rains County,Howie Hawkins,GRN,13,Donald Trump
19649,Texas,Randall County,Donald Trump,REP,57695,Donald Trump
19650,Texas,Randall County,Joe Biden,DEM,11414,Donald Trump
19651,Texas,Randall County,Jo Jorgensen,LIB,735,Donald Trump
19652,Texas,Randall County,Howie Hawkins,GRN,99,Donald Trump
19653,Texas,Randall County, Write-ins,WRI,30,Donald Trump
19654,Texas,Reagan County,Donald Trump,REP,942,Donald Trump
19655,Texas,Reagan County,Joe Biden,DEM,172,Donald Trump
19656,Texas,Reagan County,Jo Jorgensen,LIB,7,Donald Trump
19657,Texas,Reagan County,Howie Hawkins,GRN,3,Donald Trump
19658,Texas,Real County,Donald Trump,REP,1643,Donald Trump
19659,Texas,Real County,Joe Biden,DEM,320,Donald Trump
19660,Texas,Real County,Jo Jorgensen,LIB,14,Donald Trump
19661,Texas,Real County,Howie Hawkins,GRN,5,Donald Trump
19662,Texas,Red River County,Donald Trump,REP,4513,Donald Trump
19663,Texas,Red River County,Joe Biden,DEM,1244,Donald Trump
19664,Texas,Red River County,Jo Jorgensen,LIB,36,Donald Trump
19665,Texas,Red River County,Howie Hawkins,GRN,7,Donald Trump
19666,Texas,Red River County, Write-ins,WRI,0,Donald Trump
19667,Texas,Reeves County,Donald Trump,REP,2249,Donald Trump
19668,Texas,Reeves County,Joe Biden,DEM,1394,Donald Trump
19669,Texas,Reeves County,Jo Jorgensen,LIB,30,Donald Trump
19670,Texas,Reeves County,Howie Hawkins,GRN,8,Donald Trump
19671,Texas,Reeves County, Write-ins,WRI,2,Donald Trump
19672,Texas,Refugio County,Donald Trump,REP,2210,Donald Trump
19673,Texas,Refugio County,Joe Biden,DEM,1108,Donald Trump
19674,Texas,Refugio County,Jo Jorgensen,LIB,26,Donald Trump
19675,Texas,Refugio County,Howie Hawkins,GRN,21,Donald Trump
19676,Texas,Refugio County, Write-ins,WRI,1,Donald Trump
19677,Texas,Roberts County,Donald Trump,REP,529,Donald Trump
19678,Texas,Roberts County,Joe Biden,DEM,17,Donald Trump
19679,Texas,Roberts County,Jo Jorgensen,LIB,4,Donald Trump
19680,Texas,Roberts County,Howie Hawkins,GRN,0,Donald Trump
19681,Texas,Robertson County,Donald Trump,REP,5631,Donald Trump
19682,Texas,Robertson County,Joe Biden,DEM,2359,Donald Trump
19683,Texas,Robertson County,Jo Jorgensen,LIB,66,Donald Trump
19684,Texas,Robertson County,Howie Hawkins,GRN,13,Donald Trump
19685,Texas,Robertson County, Write-ins,WRI,11,Donald Trump
19686,Texas,Rockwall County,Donald Trump,REP,38842,Donald Trump
19687,Texas,Rockwall County,Joe Biden,DEM,18149,Donald Trump
19688,Texas,Rockwall County,Jo Jorgensen,LIB,642,Donald Trump
19689,Texas,Rockwall County,Howie Hawkins,GRN,132,Donald Trump
19690,Texas,Rockwall County, Write-ins,WRI,27,Donald Trump
19691,Texas,Runnels County,Donald Trump,REP,3682,Donald Trump
19692,Texas,Runnels County,Joe Biden,DEM,531,Donald Trump
19693,Texas,Runnels County,Jo Jorgensen,LIB,38,Donald Trump
19694,Texas,Runnels County,Howie Hawkins,GRN,11,Donald Trump
19695,Texas,Runnels County, Write-ins,WRI,0,Donald Trump
19696,Texas,Rusk County,Donald Trump,REP,16511,Donald Trump
19697,Texas,Rusk County,Joe Biden,DEM,4624,Donald Trump
19698,Texas,Rusk County,Jo Jorgensen,LIB,154,Donald Trump
19699,Texas,Rusk County,Howie Hawkins,GRN,50,Donald Trump
19700,Texas,Rusk County, Write-ins,WRI,28,Donald Trump
19701,Texas,Sabine County,Donald Trump,REP,4767,Donald Trump
19702,Texas,Sabine County,Joe Biden,DEM,662,Donald Trump
19703,Texas,Sabine County,Jo Jorgensen,LIB,25,Donald Trump
19704,Texas,Sabine County,Howie Hawkins,GRN,7,Donald Trump
19705,Texas,San Augustine County,Donald Trump,REP,3005,Donald Trump
19706,Texas,San Augustine County,Joe Biden,DEM,979,Donald Trump
19707,Texas,San Augustine County,Jo Jorgensen,LIB,12,Donald Trump
19708,Texas,San Augustine County,Howie Hawkins,GRN,2,Donald Trump
19709,Texas,San Jacinto County,Donald Trump,REP,10154,Donald Trump
19710,Texas,San Jacinto County,Joe Biden,DEM,2332,Donald Trump
19711,Texas,San Jacinto County,Jo Jorgensen,LIB,101,Donald Trump
19712,Texas,San Jacinto County,Howie Hawkins,GRN,39,Donald Trump
19713,Texas,San Jacinto County, Write-ins,WRI,2,Donald Trump
19714,Texas,San Patricio County,Donald Trump,REP,16495,Donald Trump
19715,Texas,San Patricio County,Joe Biden,DEM,8971,Donald Trump
19716,Texas,San Patricio County,Jo Jorgensen,LIB,289,Donald Trump
19717,Texas,San Patricio County,Howie Hawkins,GRN,93,Donald Trump
19718,Texas,San Patricio County, Write-ins,WRI,2,Donald Trump
