,State,County,Votes_Left,Votes_Right,total_shootings,shootings_normalized
285,Illinois,Adams County,24131,8569,0,0
286,Illinois,Alexander County,3056,2522,0,0
287,Illinois,Bond County,5612,2275,0,0
288,Illinois,Boone County,13762,10372,0,0
289,Illinois,Brown County,1930,485,0,0
290,Illinois,Bureau County,10296,6545,0,0
291,Illinois,Calhoun County,2043,674,0,0
292,Illinois,Carroll County,5098,2737,0,0
293,Illinois,Cass County,3624,1615,0,0
294,Illinois,Champaign County,34774,55173,0,0
295,Illinois,Christian County,11505,4286,0,0
296,Illinois,Clark County,6215,1990,0,0
297,Illinois,Clay County,5626,1129,0,0
298,Illinois,Clinton County,14264,4459,0,0
299,Illinois,Coles County,13981,7997,0,0
300,Illinois,Cook County,472127,1327394,0,0
301,Illinois,Crawford County,7025,2198,0,0
302,Illinois,Cumberland County,4595,1141,0,0
303,Illinois,DeKalb County,21818,24484,0,0
304,Illinois,De Witt County,5623,2171,0,0
305,Illinois,Douglas County,6221,2327,0,0
306,Illinois,DuPage County,187957,269638,0,0
307,Illinois,Edgar County,6169,1869,0,0
308,Illinois,Edwards County,2833,488,0,0
309,Illinois,Effingham County,14983,3700,0,0
310,Illinois,Fayette County,8025,1815,0,0
311,Illinois,Ford County,4956,1691,0,0
312,Illinois,Franklin County,13514,4690,0,0
313,Illinois,Fulton County,9798,6371,0,0
314,Illinois,Gallatin County,2019,621,0,0
315,Illinois,Greene County,4767,1349,0,0
316,Illinois,Grundy County,16372,9445,0,0
317,Illinois,Hamilton County,3429,821,0,0
318,Illinois,Hancock County,5309,1114,0,0
319,Illinois,Hardin County,0,0,0,0
320,Illinois,Henderson County,2391,1186,0,0
321,Illinois,Henry County,15266,9762,0,0
322,Illinois,Iroquois County,10858,2895,0,0
323,Illinois,Jackson County,7066,3749,0,0
324,Illinois,Jasper County,4492,1006,0,0
325,Illinois,Jefferson County,12461,4597,0,0
326,Illinois,Jersey County,8699,2956,0,0
327,Illinois,Jo Daviess County,7161,5097,0,0
328,Illinois,Johnson County,5052,1280,0,0
329,Illinois,Kane County,96196,129116,0,0
330,Illinois,Kankakee County,28410,20112,0,0
331,Illinois,Kendall County,28515,31394,0,0
332,Illinois,Knox County,11818,10421,0,0
333,Illinois,Lake County,105416,144674,0,0
334,Illinois,LaSalle County,29482,21491,0,0
335,Illinois,Lawrence County,4849,1414,0,0
336,Illinois,Lee County,9584,6368,0,0
337,Illinois,Livingston County,12134,4568,0,0
338,Illinois,Logan County,9042,3769,0,0
339,Illinois,McDonough County,7009,4973,0,0
340,Illinois,McHenry County,79396,73610,0,0
341,Illinois,McLean County,40365,43719,0,0
342,Illinois,Macon County,28373,19633,0,0
343,Illinois,Macoupin County,16058,7313,0,0
344,Illinois,Madison County,75727,56845,0,0
345,Illinois,Marion County,12540,4396,0,0
346,Illinois,Marshall County,4196,2004,0,0
347,Illinois,Mason County,4645,1984,0,0
348,Illinois,Massac County,4989,1719,0,0
349,Illinois,Menard County,4722,2003,0,0
350,Illinois,Mercer County,5328,3212,0,0
351,Illinois,Monroe County,14046,6489,0,0
352,Illinois,Montgomery County,9504,3889,0,0
353,Illinois,Morgan County,9903,5020,0,0
354,Illinois,Moultrie County,4938,1645,0,0
355,Illinois,Ogle County,16092,9300,0,0
356,Illinois,Peoria County,37612,42600,0,0
357,Illinois,Perry County,7305,2609,0,0
358,Illinois,Piatt County,6219,3302,0,0
359,Illinois,Pike County,6235,1458,0,0
360,Illinois,Pope County,1720,432,0,0
361,Illinois,Pulaski County,1699,891,0,0
362,Illinois,Putnam County,1978,1309,0,0
363,Illinois,Randolph County,11065,3590,0,0
364,Illinois,Richland County,7988,1355,0,0
365,Illinois,Rock Island County,28585,36647,0,0
366,Illinois,St. Clair County,56000,66698,0,0
367,Illinois,Saline County,8096,2786,0,0
368,Illinois,Sangamon County,53303,48756,0,0
369,Illinois,Schuyler County,2767,1064,0,0
370,Illinois,Scott County,2104,569,0,0
371,Illinois,Shelby County,9396,2488,0,0
372,Illinois,Stark County,2000,814,0,0
373,Illinois,Stephenson County,12253,8756,0,0
374,Illinois,Tazewell County,42194,24486,0,0
375,Illinois,Union County,6157,2575,0,0
376,Illinois,Vermilion County,20710,10313,0,0
377,Illinois,Wabash County,4228,1248,0,0
378,Illinois,Warren County,4671,3087,0,0
379,Illinois,Washington County,6110,1639,0,0
380,Illinois,Wayne County,7172,1185,0,0
381,Illinois,White County,5788,1517,0,0
382,Illinois,Whiteside County,14472,12195,0,0
383,Illinois,Will County,149695,174226,0,0
384,Illinois,Williamson County,22681,10107,0,0
385,Illinois,Winnebago County,60390,58721,0,0
386,Illinois,Woodford County,11764,4664,0,0
387,Illinois,Cook Suburbs,314989,566905,0,0
388,Indiana,Adams County,10685,3236,0,0
389,Indiana,Allen County,91885,72825,0,0
390,Indiana,Bartholomew County,22409,12934,0,0
391,Indiana,Benton County,3007,1009,0,0
392,Indiana,Blackford County,3838,1376,0,0
393,Indiana,Boone County,22351,15244,0,0
394,Indiana,Brown County,5725,2996,0,0
395,Indiana,Carroll County,7086,2224,0,0
396,Indiana,Cass County,10551,4301,0,0
397,Indiana,Clark County,33656,23088,0,0
398,Indiana,Clay County,9498,2549,0,0
399,Indiana,Clinton County,9334,3361,0,0
400,Indiana,Crawford County,3499,1369,0,0
401,Indiana,Daviess County,9576,2169,0,0
402,Indiana,Dearborn County,19441,5433,0,0
403,Indiana,Decatur County,9570,2436,0,0
404,Indiana,DeKalb County,14237,4966,0,0
405,Indiana,Delaware County,26724,20328,0,0
406,Indiana,Dubois County,15032,6292,0,0
407,Indiana,Elkhart County,46311,25413,0,0
408,Indiana,Fayette County,7755,2237,0,0
409,Indiana,Floyd County,23385,17507,0,0
410,Indiana,Fountain County,6151,1627,0,0
411,Indiana,Franklin County,9691,2137,0,0
412,Indiana,Fulton County,6667,2274,0,0
413,Indiana,Gibson County,11817,4027,0,0
414,Indiana,Grant County,18543,8015,0,0
415,Indiana,Greene County,11103,3389,0,0
416,Indiana,Hamilton County,101563,88367,0,0
417,Indiana,Hancock County,28816,12821,0,0
418,Indiana,Harrison County,14542,5334,0,0
419,Indiana,Hendricks County,53688,32453,0,0
