State,County,Votes_Left,Votes_Right
Iowa,Iowa County,6009,3546
Iowa,Jackson County,6940,4029
Iowa,Jasper County,12480,7813
Iowa,Jefferson County,4442,4314
Iowa,Johnson County,22918,59147
Iowa,Jones County,6569,4211
Iowa,Keokuk County,3785,1409
Iowa,Kossuth County,6244,2681
Iowa,Lee County,9763,6539
Iowa,Linn County,53098,70451
Iowa,Louisa County,3500,1726
Iowa,Lucas County,2981,1220
Iowa,Lyon County,5703,1065
Iowa,Madison County,6486,3126
Iowa,Mahaska County,8256,2879
Iowa,Marion County,12657,6170
Iowa,Marshall County,9564,8171
Iowa,Mills County,5572,2500
Iowa,Mitchell County,3665,2048
Iowa,Monona County,3234,1402
Iowa,Monroe County,2975,1078
Iowa,Montgomery County,3653,1583
Iowa,Muscatine County,10823,9372
Iowa,O'Brien County,5857,1567
Iowa,Osceola County,2688,600
Iowa,Page County,5314,2081
Iowa,Palo Alto County,3369,1518
Iowa,Plymouth County,10472,3483
Iowa,Pocahontas County,2825,932
Iowa,Polk County,106752,146173
Iowa,Pottawattamie County,26241,18570
Iowa,Poweshiek County,5645,4301
Iowa,Ringgold County,1964,708
Iowa,Sac County,4052,1383
Iowa,Scott County,43661,46890
Iowa,Shelby County,4697,1959
Iowa,Sioux County,15669,3017
Iowa,Story County,20200,28975
Iowa,Tama County,5299,3573
Iowa,Taylor County,2459,745
Iowa,Union County,4000,2049
Iowa,Van Buren County,2867,874
Iowa,Wapello County,9504,5818
Iowa,Warren County,17738,12537
Iowa,Washington County,6966,4558
Iowa,Wayne County,2338,727
Iowa,Webster County,10927,6604
Iowa,Winnebago County,3692,2123
Iowa,Winneshiek County,6234,5616
Iowa,Woodbury County,25700,18683
Iowa,Worth County,2732,1593
Iowa,Wright County,4135,1995
Kansas,Allen County,5486,1836
Kansas,Anderson County,2874,765
Kansas,Atchison County,4826,2314
Kansas,Barber County,1992,284
Kansas,Barton County,8480,2302
Kansas,Bourbon County,4906,1504
Kansas,Brown County,3206,1088
Kansas,Butler County,22250,9003
Kansas,Chase County,1114,341
Kansas,Chautauqua County,1397,212
Kansas,Cherokee County,6622,2163
Kansas,Cheyenne County,1158,220
Kansas,Clark County,885,143
Kansas,Clay County,3120,879
Kansas,Cloud County,3182,893
Kansas,Coffey County,3403,926
Kansas,Comanche County,743,124
Kansas,Cowley County,9442,4171
Kansas,Crawford County,9752,5971
Kansas,Decatur County,1232,208
