State,County,Votes_Left,Votes_Right,Total_shootings,Normalized_Shootings_rate,FIPS
Idaho,Benewah County,3878,977,0,0.000,16009
Idaho,Bingham County,15295,4124,1,0.005,16011
Idaho,Blaine County,4031,8919,0,0.000,16013
Idaho,Boise County,3495,1214,0,0.000,16015
Idaho,Bonner County,18369,8310,4,0.014,16017
Idaho,Bonneville County,37805,14254,3,0.005,16019
Idaho,Boundary County,4937,1220,0,0.000,16021
Idaho,Butte County,1202,188,0,0.000,06007
Idaho,Camas County,507,149,0,0.000,16025
Idaho,Canyon County,61759,25881,6,0.006,16027
Idaho,Caribou County,2906,431,0,0.000,16029
Idaho,Cassia County,7907,1464,0,0.000,16031
Idaho,Clark County,264,41,0,0.000,05019
Idaho,Clearwater County,3453,877,1,0.021,16035
Idaho,Custer County,2089,603,1,0.034,08027
Idaho,Elmore County,7246,2601,3,0.028,01051
Idaho,Franklin County,5845,657,1,0.014,01059
Idaho,Fremont County,5548,998,0,0.000,08043
Idaho,Gem County,7951,1803,0,0.000,16045
Idaho,Gooding County,4659,1256,2,0.031,16047
Idaho,Idaho County,7826,1561,0,0.000,16049
Idaho,Jefferson County,12099,1658,3,0.020,01073
Idaho,Jerome County,5734,1893,1,0.012,16053
Idaho,Kootenai County,62837,24312,4,0.004,16055
Idaho,Latah County,9463,10199,0,0.000,16057
Idaho,Lemhi County,3592,1032,0,0.000,16059
Idaho,Lewis County,1489,349,0,0.000,16061
Idaho,Lincoln County,1469,414,0,0.000,05079
Idaho,Madison County,13559,2666,1,0.006,01089
Idaho,Minidoka County,6265,1550,0,0.000,16067
Idaho,Nez Perce County,13738,6686,1,0.004,16069
Idaho,Oneida County,2148,249,0,0.000,16071
Idaho,Owyhee County,3819,816,1,0.020,16073
Idaho,Payette County,8862,2161,1,0.008,16075
Idaho,Power County,2116,865,0,0.000,16077
Idaho,Shoshone County,4216,1693,1,0.015,16079
Idaho,Teton County,2858,3318,0,0.000,16081
Idaho,Twin Falls County,25897,9391,0,0.000,16083
Idaho,Valley County,3947,2976,1,0.013,16085
Idaho,Washington County,4154,1073,0,0.000,01129
Illinois,Adams County,24131,8569,1,0.003,08001
Illinois,Alexander County,3056,2522,0,0.000,17003
Illinois,Bond County,5612,2275,0,0.000,17005
Illinois,Boone County,13762,10372,1,0.004,05009
Illinois,Brown County,1930,485,0,0.000,17009
Illinois,Bureau County,10296,6545,0,0.000,17011
Illinois,Calhoun County,2043,674,0,0.000,01015
Illinois,Carroll County,5098,2737,0,0.000,05015
Illinois,Cass County,3624,1615,0,0.000,17017
Illinois,Champaign County,34774,55173,1,0.001,17019
Illinois,Christian County,11505,4286,1,0.006,17021
Illinois,Clark County,6215,1990,0,0.000,05019
Illinois,Clay County,5626,1129,0,0.000,01027
Illinois,Clinton County,14264,4459,0,0.000,17027
Illinois,Coles County,13981,7997,0,0.000,17029
Illinois,Cook County,472127,1327394,114,0.006,13075
Illinois,Crawford County,7025,2198,0,0.000,05033
Illinois,Cumberland County,4595,1141,0,0.000,17035
Illinois,DeKalb County,21818,24484,1,0.002,01049
Illinois,De Witt County,5623,2171,0,0.000,17039
Illinois,Douglas County,6221,2327,1,0.011,08035
Illinois,DuPage County,187957,269638,2,0.000,17043
Illinois,Edgar County,6169,1869,0,0.000,17045
Illinois,Edwards County,2833,488,0,0.000,17047
Illinois,Effingham County,14983,3700,0,0.000,13103
Illinois,Fayette County,8025,1815,0,0.000,01057
Illinois,Ford County,4956,1691,0,0.000,17053
Illinois,Franklin County,13514,4690,2,0.010,01059
Illinois,Fulton County,9798,6371,0,0.000,05049
Illinois,Gallatin County,2019,621,0,0.000,17059
Illinois,Greene County,4767,1349,0,0.000,01063
Illinois,Grundy County,16372,9445,0,0.000,17063
Illinois,Hamilton County,3429,821,0,0.000,12047
Illinois,Hancock County,5309,1114,0,0.000,13141
Illinois,Hardin County,0,0,0,0.000,17069
Illinois,Henderson County,2391,1186,0,0.000,17071
Illinois,Henry County,15266,9762,1,0.004,01067
Illinois,Iroquois County,10858,2895,0,0.000,17075
Illinois,Jackson County,7066,3749,0,0.000,01071
Illinois,Jasper County,4492,1006,0,0.000,13159
Illinois,Jefferson County,12461,4597,0,0.000,01073
Illinois,Jersey County,8699,2956,1,0.008,17083
Illinois,Jo Daviess County,7161,5097,1,0.007,17085
Illinois,Johnson County,5052,1280,0,0.000,05071
Illinois,Kane County,96196,129116,7,0.003,17089
Illinois,Kankakee County,28410,20112,0,0.000,17091
Illinois,Kendall County,28515,31394,0,0.000,17093
Illinois,Knox County,11818,10421,0,0.000,17095
Illinois,Lake County,105416,144674,13,0.005,06033
Illinois,LaSalle County,29482,21491,0,0.000,0
Illinois,Lawrence County,4849,1414,0,0.000,01079
Illinois,Lee County,9584,6368,0,0.000,01081
Illinois,Livingston County,12134,4568,0,0.000,17105
Illinois,Logan County,9042,3769,1,0.007,05083
Illinois,McDonough County,7009,4973,0,0.000,17109
Illinois,McHenry County,79396,73610,1,0.001,17111
Illinois,McLean County,40365,43719,1,0.001,17113
Illinois,Macon County,28373,19633,0,0.000,01087
Illinois,Macoupin County,16058,7313,0,0.000,17117
Illinois,Madison County,75727,56845,5,0.003,01089
Illinois,Marion County,12540,4396,0,0.000,01093
Illinois,Marshall County,4196,2004,0,0.000,01095
Illinois,Mason County,4645,1984,0,0.000,17125
Illinois,Massac County,4989,1719,2,0.027,17127
Illinois,Menard County,4722,2003,0,0.000,17129
Illinois,Mercer County,5328,3212,0,0.000,17131
Illinois,Monroe County,14046,6489,1,0.004,01099
Illinois,Montgomery County,9504,3889,1,0.007,01101
Illinois,Morgan County,9903,5020,0,0.000,01103
Illinois,Moultrie County,4938,1645,0,0.000,17139
Illinois,Ogle County,16092,9300,0,0.000,17141
Illinois,Peoria County,37612,42600,3,0.003,17143
Illinois,Perry County,7305,2609,0,0.000,01105
Illinois,Piatt County,6219,3302,0,0.000,17147
Illinois,Pike County,6235,1458,0,0.000,01109
Illinois,Pope County,1720,432,1,0.042,05115
Illinois,Pulaski County,1699,891,0,0.000,05119
Illinois,Putnam County,1978,1309,0,0.000,12107
Illinois,Randolph County,11065,3590,0,0.000,01111
Illinois,Richland County,7988,1355,0,0.000,17159
Illinois,Rock Island County,28585,36647,2,0.003,17161
Illinois,St. Clair County,56000,66698,4,0.003,01115
Illinois,Saline County,8096,2786,0,0.000,05125
Illinois,Sangamon County,53303,48756,1,0.001,17167
Illinois,Schuyler County,2767,1064,0,0.000,17169
Illinois,Scott County,2104,569,1,0.034,05127
Illinois,Shelby County,9396,2488,0,0.000,01117
Illinois,Stark County,2000,814,0,0.000,17175
Illinois,Stephenson County,12253,8756,0,0.000,17177
Illinois,Tazewell County,42194,24486,2,0.003,17179
Illinois,Union County,6157,2575,0,0.000,05139
Illinois,Vermilion County,20710,10313,3,0.009,17183
Illinois,Wabash County,4228,1248,0,0.000,17185
Illinois,Warren County,4671,3087,0,0.000,13301
Illinois,Washington County,6110,1639,0,0.000,01129
Illinois,Wayne County,7172,1185,0,0.000,13305
Illinois,White County,5788,1517,0,0.000,05145
Illinois,Whiteside County,14472,12195,2,0.007,17195
Illinois,Will County,149695,174226,3,0.001,17197
Illinois,Williamson County,22681,10107,2,0.006,17199
Illinois,Winnebago County,60390,58721,4,0.003,17201
Illinois,Woodford County,11764,4664,0,0.000,17203
Illinois,Cook Suburbs,314989,566905,0,0.000,0
Indiana,Adams County,10685,3236,0,0.000,08001
Indiana,Allen County,91885,72825,9,0.005,18003
Indiana,Bartholomew County,22409,12934,1,0.003,18005
Indiana,Benton County,3007,1009,0,0.000,05007
Indiana,Blackford County,3838,1376,0,0.000,18009
Indiana,Boone County,22351,15244,0,0.000,05009
Indiana,Brown County,5725,2996,1,0.010,17009
